Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,2.125,-0.4466132393825542,-0.4466132393825542
2024-10-16,2.375,-0.29925777855774444,-0.29925777855774444
2024-10-17,1.125,-1.0360350826817932,-1.0360350826817932
2024-10-18,1.625,-0.7413241610321737,-0.7413241610321737
2024-10-21,4.0,0.6585527168035189,0.6585527168035189
2024-10-22,1.25,-0.9623573522693883,-0.9623573522693883
2024-10-23,1.25,-0.9623573522693883,-0.9623573522693883
2024-10-24,2.375,-0.29925777855774444,-0.29925777855774444
2024-10-28,2.875,-0.004546856908124969,-0.004546856908124969
2024-10-29,2.875,-0.004546856908124969,-0.004546856908124969
2024-11-04,2.5,-0.22558004814533958,-0.22558004814533958
2024-11-05,2.25,-0.3729355089701493,-0.3729355089701493
2024-11-06,5.625,1.6163632121647822,1.6163632121647822
2024-11-07,3.375,0.29016406474149453,0.29016406474149453
2024-11-11,2.375,-0.29925777855774444,-0.29925777855774444
2024-11-15,3.375,0.29016406474149453,0.29016406474149453
2024-11-18,2.625,-0.15190231773293472,-0.15190231773293472
2024-11-19,5.0,1.2479745601027579,1.2479745601027579
2024-11-20,2.25,-0.3729355089701493,-0.3729355089701493
2024-11-21,2.375,-0.29925777855774444,-0.29925777855774444
2024-11-25,2.625,-0.15190231773293472,-0.15190231773293472
2024-11-26,1.625,-0.7413241610321737,-0.7413241610321737
2024-11-28,1.25,-0.9623573522693883,-0.9623573522693883
2024-11-29,1.5,-0.8150018914445786,-0.8150018914445786
2024-12-02,4.875,1.174296829690353,1.174296829690353
2024-12-03,4.5,0.9532636384531383,0.9532636384531383
2024-12-04,2.125,-0.4466132393825542,-0.4466132393825542
2024-12-05,4.25,0.8059081776283287,0.8059081776283287
2024-12-10,3.0,0.0691308735042799,0.0691308735042799
2024-12-13,2.375,-0.29925777855774444,-0.29925777855774444
2024-12-16,1.375,-0.8886796218569835,-0.8886796218569835
2024-12-17,2.875,-0.004546856908124969,-0.004546856908124969
2024-12-18,1.875,-0.5939687002073639,-0.5939687002073639
2024-12-23,1.625,-0.7413241610321737,-0.7413241610321737
2024-12-26,0.875,-1.183390543506603,-1.183390543506603
2024-12-27,2.25,-0.3729355089701493,-0.3729355089701493
2024-12-30,2.25,-0.3729355089701493,-0.3729355089701493
2024-12-31,1.5,-0.8150018914445786,-0.8150018914445786
2025-01-02,3.875,0.584874986391114,0.584874986391114
2025-01-03,1.5,-0.8150018914445786,-0.8150018914445786
2025-01-06,3.5,0.3638417951538994,0.3638417951538994
2025-01-07,2.0059814453127274,-0.5167653752731377,-0.5167653752731377
2025-01-08,2.5,-0.22558004814533958,-0.22558004814533958
2025-01-09,2.125,-0.4466132393825542,-0.4466132393825542
2025-01-16,1.625,-0.7413241610321737,-0.7413241610321737
2025-01-17,1.625,-0.7413241610321737,-0.7413241610321737
2025-01-20,1.625,-0.7413241610321737,-0.7413241610321737
2025-01-21,4.25,0.8059081776283287,0.8059081776283287
2025-01-22,2.0,-0.520290969794959,-0.520290969794959
2025-01-23,2.375,-0.29925777855774444,-0.29925777855774444
2025-01-27,7.0,2.4268182467012362,2.4268182467012362
2025-01-28,2.0,-0.520290969794959,-0.520290969794959
2025-01-29,1.5,-0.8150018914445786,-0.8150018914445786
2025-02-03,3.25,0.21648633432908965,0.21648633432908965
2025-02-04,2.625,-0.15190231773293472,-0.15190231773293472
2025-02-05,2.75,-0.07822458732052984,-0.07822458732052984
2025-02-06,1.875,-0.5939687002073639,-0.5939687002073639
2025-02-11,1.75,-0.6676464306197688,-0.6676464306197688
2025-02-14,1.75,-0.6676464306197688,-0.6676464306197688
2025-02-17,1.375,-0.8886796218569835,-0.8886796218569835
2025-02-18,1.0,-1.109712813094198,-1.109712813094198
2025-02-19,1.125,-1.0360350826817932,-1.0360350826817932
2025-02-20,1.375,-0.8886796218569835,-0.8886796218569835
2025-02-24,1.5,-0.8150018914445786,-0.8150018914445786
2025-02-25,3.5,0.3638417951538994,0.3638417951538994
2025-02-26,4.5,0.9532636384531383,0.9532636384531383
2025-03-03,5.5,1.5426854817523774,1.5426854817523774
2025-03-04,6.625,2.205785055464021,2.205785055464021
2025-03-05,6.0,1.8373964034019967,1.8373964034019967
2025-03-06,5.5,1.5426854817523774,1.5426854817523774
2025-03-11,6.75,2.2794627858764263,2.2794627858764263
2025-03-17,3.75,0.5111972559787091,0.5111972559787091
2025-03-18,2.0,-0.520290969794959,-0.520290969794959
2025-03-19,1.75,-0.6676464306197688,-0.6676464306197688
2025-03-20,3.625,0.43751952556630425,0.43751952556630425
2025-03-21,2.75,-0.07822458732052984,-0.07822458732052984
2025-03-24,1.375,-0.8886796218569835,-0.8886796218569835
2025-03-25,2.75,-0.07822458732052984,-0.07822458732052984
