Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,2.5,-1.201453529403448,-1.201453529403448
2024-10-16,3.0,-0.907121540272483,-0.907121540272483
2024-10-17,3.5,-0.6127895511415179,-0.6127895511415179
2024-10-18,3.5,-0.6127895511415179,-0.6127895511415179
2024-10-21,4.5,-0.02412557287958753,-0.02412557287958753
2024-10-22,3.0,-0.907121540272483,-0.907121540272483
2024-10-23,4.0,-0.3184575620105527,-0.3184575620105527
2024-10-24,4.0,-0.3184575620105527,-0.3184575620105527
2024-10-28,4.0,-0.3184575620105527,-0.3184575620105527
2024-10-29,7.0,1.4475343727752383,1.4475343727752383
2024-11-04,7.5,1.7418663619062034,1.7418663619062034
2024-11-05,5.0,0.27020641625137765,0.27020641625137765
2024-11-06,5.5,0.5645384053823428,0.5645384053823428
2024-11-07,7.5,1.7418663619062034,1.7418663619062034
2024-11-11,4.5,-0.02412557287958753,-0.02412557287958753
2024-11-15,5.5,0.5645384053823428,0.5645384053823428
2024-11-18,2.5,-1.201453529403448,-1.201453529403448
2024-11-19,4.5,-0.02412557287958753,-0.02412557287958753
2024-11-20,3.5,-0.6127895511415179,-0.6127895511415179
2024-11-21,4.0,-0.3184575620105527,-0.3184575620105527
2024-11-25,4.0,-0.3184575620105527,-0.3184575620105527
2024-11-26,5.0,0.27020641625137765,0.27020641625137765
2024-12-02,5.5,0.5645384053823428,0.5645384053823428
2024-12-03,6.5,1.153202383644273,1.153202383644273
2024-12-04,3.0,-0.907121540272483,-0.907121540272483
2024-12-05,5.5,0.5645384053823428,0.5645384053823428
2024-12-10,4.0,-0.3184575620105527,-0.3184575620105527
2024-12-13,3.5,-0.6127895511415179,-0.6127895511415179
2024-12-16,3.5,-0.6127895511415179,-0.6127895511415179
2024-12-17,4.0,-0.3184575620105527,-0.3184575620105527
2024-12-18,9.5,2.919194318430064,2.919194318430064
2024-12-23,3.5,-0.6127895511415179,-0.6127895511415179
2024-12-26,3.0,-0.907121540272483,-0.907121540272483
2024-12-27,4.0,-0.3184575620105527,-0.3184575620105527
2024-12-30,5.0,0.27020641625137765,0.27020641625137765
2024-12-31,2.5,-1.201453529403448,-1.201453529403448
2025-01-02,4.5,-0.02412557287958753,-0.02412557287958753
2025-01-03,2.0,-1.4957855185344133,-1.4957855185344133
2025-01-06,5.5,0.5645384053823428,0.5645384053823428
2025-01-07,4.0,-0.3184575620105527,-0.3184575620105527
2025-01-08,8.5,2.3305303401681337,2.3305303401681337
2025-01-10,5.0,0.27020641625137765,0.27020641625137765
2025-01-13,6.0,0.8588703945133079,0.8588703945133079
2025-01-14,4.0,-0.3184575620105527,-0.3184575620105527
2025-01-15,3.5,-0.6127895511415179,-0.6127895511415179
2025-01-16,4.0,-0.3184575620105527,-0.3184575620105527
2025-01-17,4.5,-0.02412557287958753,-0.02412557287958753
2025-01-21,5.0,0.27020641625137765,0.27020641625137765
2025-01-22,5.0,0.27020641625137765,0.27020641625137765
2025-01-23,3.0,-0.907121540272483,-0.907121540272483
2025-01-24,3.0,-0.907121540272483,-0.907121540272483
2025-01-27,3.5,-0.6127895511415179,-0.6127895511415179
2025-01-28,4.0,-0.3184575620105527,-0.3184575620105527
2025-01-29,6.0,0.8588703945133079,0.8588703945133079
2025-01-30,5.0,0.27020641625137765,0.27020641625137765
2025-01-31,9.5,2.919194318430064,2.919194318430064
2025-02-03,8.5,2.3305303401681337,2.3305303401681337
2025-02-04,3.0,-0.907121540272483,-0.907121540272483
2025-02-05,3.0,-0.907121540272483,-0.907121540272483
2025-02-06,3.0,-0.907121540272483,-0.907121540272483
2025-02-07,3.0,-0.907121540272483,-0.907121540272483
