Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.625,-1.0061923580853174,-1.0061923580853174
2024-10-16,0.75,-0.8455044157598953,-0.8455044157598953
2024-10-17,1.0,-0.5241285311090511,-0.5241285311090511
2024-10-18,0.75,-0.8455044157598953,-0.8455044157598953
2024-10-21,1.0,-0.5241285311090511,-0.5241285311090511
2024-10-22,0.875,-0.6848164734344732,-0.6848164734344732
2024-10-23,1.125,-0.3634405887836289,-0.3634405887836289
2024-10-24,1.25,-0.2027526464582068,-0.2027526464582068
2024-10-28,1.375,-0.042064704132784646,-0.042064704132784646
2024-10-29,2.125,0.9220629498197481,0.9220629498197481
2024-11-04,2.0,0.7613750074943261,0.7613750074943261
2024-11-05,1.875,0.6006870651689039,0.6006870651689039
2024-11-06,1.5,0.1186232381926375,0.1186232381926375
2024-11-07,2.5,1.4041267767960146,1.4041267767960146
2024-11-11,1.375,-0.042064704132784646,-0.042064704132784646
2024-11-15,1.25,-0.2027526464582068,-0.2027526464582068
2024-11-18,1.0,-0.5241285311090511,-0.5241285311090511
2024-11-19,1.25,-0.2027526464582068,-0.2027526464582068
2024-11-20,0.875,-0.6848164734344732,-0.6848164734344732
2024-11-21,1.0,-0.5241285311090511,-0.5241285311090511
2024-11-25,0.875,-0.6848164734344732,-0.6848164734344732
2024-11-26,1.25,-0.2027526464582068,-0.2027526464582068
2024-12-02,3.875,3.171694142375658,3.171694142375658
2024-12-03,3.875,3.171694142375658,3.171694142375658
2024-12-04,1.0,-0.5241285311090511,-0.5241285311090511
2024-12-05,3.625,2.8503182577248136,2.8503182577248136
2024-12-10,0.875,-0.6848164734344732,-0.6848164734344732
2024-12-13,2.75,1.725502661446859,1.725502661446859
2024-12-16,1.0,-0.5241285311090511,-0.5241285311090511
2024-12-17,1.25,-0.2027526464582068,-0.2027526464582068
2024-12-18,2.875,1.886190603772281,1.886190603772281
2024-12-23,1.0,-0.5241285311090511,-0.5241285311090511
2024-12-26,0.625,-1.0061923580853174,-1.0061923580853174
2024-12-27,0.875,-0.6848164734344732,-0.6848164734344732
2024-12-30,1.125,-0.3634405887836289,-0.3634405887836289
2024-12-31,0.5,-1.1668803004107395,-1.1668803004107395
2025-01-02,1.0,-0.5241285311090511,-0.5241285311090511
2025-01-03,0.75,-0.8455044157598953,-0.8455044157598953
2025-01-06,2.0,0.7613750074943261,0.7613750074943261
2025-01-07,1.125,-0.3634405887836289,-0.3634405887836289
2025-01-08,2.0,0.7613750074943261,0.7613750074943261
2025-01-10,1.375,-0.042064704132784646,-0.042064704132784646
2025-01-13,1.25,-0.2027526464582068,-0.2027526464582068
2025-01-14,1.125,-0.3634405887836289,-0.3634405887836289
2025-01-15,0.625,-1.0061923580853174,-1.0061923580853174
2025-01-16,1.25,-0.2027526464582068,-0.2027526464582068
2025-01-17,1.751953125,0.4425098719423165,0.4425098719423165
2025-01-21,1.25,-0.2027526464582068,-0.2027526464582068
2025-01-22,1.625,0.27931118051805964,0.27931118051805964
2025-01-23,0.875,-0.6848164734344732,-0.6848164734344732
2025-01-24,1.0,-0.5241285311090511,-0.5241285311090511
2025-01-27,1.125,-0.3634405887836289,-0.3634405887836289
2025-01-28,1.5,0.1186232381926375,0.1186232381926375
2025-01-29,2.0,0.7613750074943261,0.7613750074943261
2025-01-30,1.75,0.43999912284348175,0.43999912284348175
2025-01-31,3.375,2.5289423730739697,2.5289423730739697
2025-02-03,2.0,0.7613750074943261,0.7613750074943261
2025-02-04,1.0,-0.5241285311090511,-0.5241285311090511
2025-02-05,1.125,-0.3634405887836289,-0.3634405887836289
2025-02-06,0.875,-0.6848164734344732,-0.6848164734344732
2025-02-07,1.375,-0.042064704132784646,-0.042064704132784646
2025-02-10,1.25,-0.2027526464582068,-0.2027526464582068
2025-02-11,0.5,-1.1668803004107395,-1.1668803004107395
2025-02-12,1.125,-0.3634405887836289,-0.3634405887836289
2025-02-13,0.625,-1.0061923580853174,-1.0061923580853174
