Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,1.875,-0.6958525334835615,-0.6958525334835615
2024-10-16,2.375,-0.41957330537453263,-0.41957330537453263
2024-10-17,4.5,0.7546134140888399,0.7546134140888399
2024-10-18,2.5,-0.35050349834727546,-0.35050349834727546
2024-10-21,1.875,-0.6958525334835615,-0.6958525334835615
2024-10-22,2.625,-0.2814336913200183,-0.2814336913200183
2024-10-23,2.875,-0.14329407726550383,-0.14329407726550383
2024-10-24,2.375,-0.41957330537453263,-0.41957330537453263
2024-10-28,1.875,-0.6958525334835615,-0.6958525334835615
2024-10-29,3.0,-0.07422427023824664,-0.07422427023824664
2024-11-04,1.75,-0.7649223405108186,-0.7649223405108186
2024-11-05,2.375,-0.41957330537453263,-0.41957330537453263
2024-11-06,3.875,0.4092643789525538,0.4092643789525538
2024-11-07,6.0,1.5834510984159262,1.5834510984159262
2024-11-11,2.125,-0.5577129194290471,-0.5577129194290471
2024-11-15,6.75,1.9978699405794695,1.9978699405794695
2024-11-18,3.25,0.06391534381626778,0.06391534381626778
2024-11-19,3.125,-0.005154463210989435,-0.005154463210989435
2024-11-20,1.875,-0.6958525334835615,-0.6958525334835615
2024-11-21,2.625,-0.2814336913200183,-0.2814336913200183
2024-11-25,5.75,1.4453114843614119,1.4453114843614119
2024-11-26,2.5,-0.35050349834727546,-0.35050349834727546
2024-11-28,1.25,-1.0412015686198475,-1.0412015686198475
2024-11-29,6.0,1.5834510984159262,1.5834510984159262
2024-12-02,6.75,1.9978699405794695,1.9978699405794695
2024-12-03,6.125,1.6525209054431835,1.6525209054431835
2024-12-04,0.875,-1.2484109897016191,-1.2484109897016191
2024-12-05,2.375,-0.41957330537453263,-0.41957330537453263
2024-12-10,3.625,0.2711247648980394,0.2711247648980394
2024-12-13,2.875,-0.14329407726550383,-0.14329407726550383
2024-12-16,2.5,-0.35050349834727546,-0.35050349834727546
2024-12-17,3.5,0.20205495787078218,0.20205495787078218
2024-12-18,3.875,0.4092643789525538,0.4092643789525538
2024-12-23,1.375,-0.9721317615925903,-0.9721317615925903
2024-12-24,0.5,-1.4556204107833908,-1.4556204107833908
2024-12-26,1.125,-1.1102713756471048,-1.1102713756471048
2024-12-27,1.75,-0.7649223405108186,-0.7649223405108186
2024-12-30,2.75,-0.21236388429276104,-0.21236388429276104
2024-12-31,2.0,-0.6267827264563043,-0.6267827264563043
2025-01-02,2.5,-0.35050349834727546,-0.35050349834727546
2025-01-03,1.625,-0.8339921475380759,-0.8339921475380759
2025-01-06,3.75,0.34019457192529656,0.34019457192529656
2025-01-07,1.5,-0.9030619545653331,-0.9030619545653331
2025-01-08,3.75,0.34019457192529656,0.34019457192529656
2025-01-09,1.5,-0.9030619545653331,-0.9030619545653331
2025-01-10,8.125,2.7576378178792984,2.7576378178792984
2025-01-13,2.625,-0.2814336913200183,-0.2814336913200183
2025-01-14,3.625,0.2711247648980394,0.2711247648980394
2025-01-15,8.625,3.033917045988327,3.033917045988327
2025-01-16,3.125,-0.005154463210989435,-0.005154463210989435
2025-01-17,3.5,0.20205495787078218,0.20205495787078218
2025-01-20,4.5,0.7546134140888399,0.7546134140888399
2025-01-21,2.125,-0.5577129194290471,-0.5577129194290471
2025-01-22,2.0,-0.6267827264563043,-0.6267827264563043
2025-01-23,2.625,-0.2814336913200183,-0.2814336913200183
2025-01-24,2.25,-0.48864311240178987,-0.48864311240178987
2025-01-27,4.0,0.478334185979811,0.478334185979811
2025-01-28,2.25,-0.48864311240178987,-0.48864311240178987
2025-01-29,1.375,-0.9721317615925903,-0.9721317615925903
2025-01-30,2.625,-0.2814336913200183,-0.2814336913200183
2025-01-31,2.875,-0.14329407726550383,-0.14329407726550383
2025-02-03,3.0,-0.07422427023824664,-0.07422427023824664
2025-02-04,3.0,-0.07422427023824664,-0.07422427023824664
2025-02-05,2.75,-0.21236388429276104,-0.21236388429276104
2025-02-06,2.25,-0.48864311240178987,-0.48864311240178987
2025-02-07,9.25,3.379266081124613,3.379266081124613
2025-02-10,1.75,-0.7649223405108186,-0.7649223405108186
