"(Return Stats:- Interval:1m, Symbol:ZB)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,94.0,95.0,95.0,89.0,113.0,126.0
mean,4.48936170212766,4.057894736842106,5.705263157894737,2.241573033707865,3.7035398230088497,8.757936507936508
std,4.040107208337618,3.9002612827742937,4.318746085284493,2.0972280942388113,5.40900256852836,11.53823801574298
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.3250000000000002,0.0,0.5,0.5,0.0,0.5
25%,1.5,1.5,1.75,0.5,1.5,2.0
50%,3.5,3.0,5.5,2.0,2.5,5.75
68%,5.620000000000001,4.5,7.5,2.5,3.5,9.5
90%,8.850000000000001,9.0,11.100000000000009,4.0,7.0,18.0
95%,10.0,13.149999999999999,13.449999999999996,5.8999999999999915,9.899999999999991,25.125
99%,16.339999999999918,15.860000000000014,16.560000000000002,10.300000000000011,26.699999999999932,60.75
99.7%,24.152000000000044,19.80800000000002,17.218000000000004,11.84000000000001,40.45200000000003,78.1875
max,27.5,21.5,17.5,12.5,46.5,87.0
