"(Return Stats:- Interval:1m, Symbol:ZF)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,62.0,63.0,63.0,58.0,70.0,82.0
mean,1.2741935483870968,1.5396825396825398,1.742063492063492,0.5646551724137931,0.8696428571428572,2.0884146341463414
std,1.036436278140735,1.4922220044271806,1.700313214723041,0.47999530523011597,0.9762662982471371,2.2138285755131326
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.1375,0.012500000000000011,0.10625000000000001,0.125,0.125
25%,0.625,0.5,0.5,0.125,0.28125,0.53125
50%,1.125,1.25,1.5,0.5,0.75,1.5
68%,1.5,1.6450000000000005,2.0200000000000005,0.625,0.875,2.2600000000000007
90%,2.2375,3.3500000000000005,3.75,1.25,1.625,4.487500000000001
95%,2.974999999999998,4.4875,4.562499999999999,1.3937499999999998,1.8187499999999996,7.700000000000003
99%,4.850000000000001,6.312500000000008,7.257500000000012,1.8937499999999998,4.136250000000011,8.951249999999995
99.7%,5.9175,7.66875,9.26475,2.1431250000000004,6.490875000000031,10.297875000000012
max,6.375,8.25,10.125,2.25,7.5,10.875
