"(Return Stats:- Interval:15m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,83.0,83.0,98.0,90.0,98.0,110.0
mean,2.3433734939759034,1.9698795180722892,1.9770408163265305,1.0805555555555555,2.0841836734693877,4.334090909090909
std,1.8933898346928273,2.193879231605071,1.9520959970816005,1.5199182126954711,2.301933263459525,4.692405203854873
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.21250000000000013,0.0,0.21250000000000013,0.25
25%,0.75,0.625,0.5,0.25,0.75,1.0
50%,1.75,1.5,1.5,0.625,1.5,3.25
68%,3.0,2.1900000000000013,2.25,1.0,2.25,4.810000000000002
90%,5.0,3.5,4.574999999999999,2.275000000000002,4.324999999999999,9.025000000000002
95%,5.724999999999998,6.449999999999974,6.0,3.1374999999999993,5.1499999999999915,13.3875
99%,7.269999999999989,11.154999999999983,8.780000000000001,6.827499999999997,7.822500000000012,21.164999999999978
99.7%,8.131000000000007,12.446500000000011,9.459000000000003,10.098250000000021,15.121750000000034,27.975250000000017
max,8.5,13.0,9.75,11.5,18.25,31.0
