"(Vol Return Stats:- Interval:15m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,71.0,71.0,86.0,79.0,85.0,95.0
mean,5.517605633802817,3.8309859154929575,3.5000468409338636,1.9462272547468353,3.541176470588235,8.01320029810855
std,2.3457118717162735,2.0575534396320423,2.197581525539495,1.6264212398650477,1.7969248942652705,4.120898890011007
min,1.75,1.25,0.5,0.5,0.5,1.5
5%,2.375,1.75,1.25,0.75,1.5,2.75
25%,4.0,2.5,2.0,1.0,2.25,5.125
50%,5.25,3.5,3.0,1.5,3.0,7.25
68%,5.75,4.25,3.75,2.0,3.75,9.25
90%,8.0,6.0,5.875,3.75,5.75,13.050000000000004
95%,10.5,6.625,8.4375,4.274999999999999,6.799999999999997,16.299999999999997
99%,12.075,10.249999999999979,10.937500000000007,8.099999999999994,9.369999999999997,19.72500000000001
99.7%,12.197500000000002,13.925000000000047,11.681250000000006,10.830000000000027,9.811000000000003,22.192500000000013
max,12.25,15.5,12.0,12.0,10.0,23.25
