"(Return Stats:- Interval:1h, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,379.0,379.0,382.0,369.0,459.0,501.0
mean,2.1642480211081794,2.629287598944591,2.369764397905759,1.1199673288236796,1.4591503267973855,4.233544873144337
std,1.8662010903842503,2.1385785639557144,2.205759746625078,1.1953794391871815,1.383915375144781,3.800691399675832
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.25
25%,0.75,1.25,0.75,0.25,0.5,1.25
50%,1.75,2.0,1.75,0.75,1.25,3.25
68%,2.5,3.0,2.75,1.25,1.75,5.25
90%,4.25,5.5,5.0,2.299999999999997,3.0,9.75
95%,5.25,6.7749999999999915,6.487499999999997,3.0,3.5249999999999915,11.5
99%,10.164999999999978,9.579999999999956,9.344999999999999,5.819999999999993,6.105000000000004,16.0
99.7%,11.682999999999993,11.0,11.392749999999978,8.198000000000008,10.066999999999894,19.25
max,13.5,12.0,19.75,9.0,13.75,24.75
