"(Vol Return Stats:- Interval:1h, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,389.0,390.0,393.0,380.0,472.0,514.0
mean,4.720478126506267,5.512820512820513,5.153944020356234,2.631605288856907,3.577330508474576,8.94117517137342
std,2.6008677626376366,2.7960612663591027,2.8751935989689743,1.9254917705056769,2.6820360316037837,5.242606351465192
min,1.5,1.0,1.0,0.5,1.0,1.25
5%,2.25,2.25,2.0,1.0,1.5,2.25
25%,3.25,3.5,3.25,1.5,2.25,5.5
50%,4.0,5.0,4.5,2.0,2.75,8.0
68%,4.960000000000008,6.0,5.75,2.5,3.5,10.25
90%,7.25,8.775000000000006,8.75,4.5,5.75,15.674999999999997
95%,9.899999999999991,10.75,10.5,7.762500000000003,9.25,18.08749999999999
99%,15.560000000000002,15.470000000000027,12.519999999999996,10.35499999999999,14.04000000000002,27.087500000000006
99.7%,20.090000000000032,17.708250000000007,15.604000000000028,11.4315,22.08699999999999,32.09575000000001
max,21.75,19.75,30.0,11.5,23.25,38.25
