"(Return Stats:- Interval:1m, Symbol:ZT)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,63.0,64.0,64.0,59.0,69.0,82.0
mean,0.476190514285712,0.598632762500003,0.6660156499999985,0.22775418305085068,0.3188406144927516,0.8140243317073206
std,0.4057345355823312,0.6543509100852458,0.7558648442334903,0.18955863182100202,0.33402785450845207,0.8013525515802983
min,0.062499200000047495,0.0,0.0,0.0,0.0,0.062499200000047495
5%,0.06875071999995726,0.0,0.009375000000000022,0.0,0.0,0.06562575999995487
25%,0.18750039999997625,0.18749980000001187,0.1875,0.125,0.125,0.25
50%,0.375,0.4375,0.5,0.1875,0.25,0.625
68%,0.5625,0.6874992000000475,0.75,0.25,0.38999980800001155,0.8799999360000041
90%,0.9375,1.2312500000000002,1.3125005599999668,0.5,0.625,1.6187500000000004
95%,1.24375,1.5874999999999986,1.668750679999959,0.5624992800000428,0.6875,2.5625
99%,1.7400000000000029,3.1268747040000147,3.876874999999997,0.7725004639999733,1.3325002559999737,3.583124999999999
99.7%,2.22825,3.6505618512000386,4.4005624999999995,0.975500139199992,2.1060006367999726,3.831187500000002
max,2.4375,3.8749992000000475,4.625,1.0625,2.4375007999999525,3.9375
